"","ccle_name","GE_MGMT","culture","pert1","pert2","dose1","dose2","library.fitted","combination.fitted","S"
"162","KYSE140_OESOPHAGUS",2.95791459863299,"PR500","temozolomide","O6-benzylguanine",0.1372,5,0.860851600640365,0.947268031430852,-0.0908785267260004
"163","KYSE140_OESOPHAGUS",2.95791459863299,"PR500","temozolomide","O6-benzylguanine",0.4115,5,0.876175388703337,0.917663647757529,-0.0612741430526776
"164","KYSE140_OESOPHAGUS",2.95791459863299,"PR500","temozolomide","O6-benzylguanine",1.235,5,0.890034973195066,0.873624679693616,-0.0172351749887641
"165","KYSE140_OESOPHAGUS",2.95791459863299,"PR500","temozolomide","O6-benzylguanine",100,5,0.932670307919802,0.505938815971433,0.292790247080928
"166","KYSE140_OESOPHAGUS",2.95791459863299,"PR500","temozolomide","O6-benzylguanine",11.11,5,0.913705369108761,0.726849201808048,0.0556384866891678
"167","KYSE140_OESOPHAGUS",2.95791459863299,"PR500","temozolomide","O6-benzylguanine",3.704,5,0.902508602896866,0.810929992603333,0
"168","KYSE140_OESOPHAGUS",2.95791459863299,"PR500","temozolomide","O6-benzylguanine",33.33,5,0.923726431712061,0.622752436615188,0.168317184721484
"169","MKN7_STOMACH",3.16671544496642,"PR500","temozolomide","O6-benzylguanine",0.1372,5,0.941769575815661,0.899634342401795,0
"170","MKN7_STOMACH",3.16671544496642,"PR500","temozolomide","O6-benzylguanine",0.4115,5,0.927952060065932,0.84654824395188,0
"171","MKN7_STOMACH",3.16671544496642,"PR500","temozolomide","O6-benzylguanine",1.235,5,0.91115418665683,0.772434183337334,0.0551291706914178
"172","MKN7_STOMACH",3.16671544496642,"PR500","temozolomide","O6-benzylguanine",100,5,0.804846236735796,0.327455326064307,0.403552949927244
"173","MKN7_STOMACH",3.16671544496642,"PR500","temozolomide","O6-benzylguanine",11.11,5,0.866734993028638,0.562500563270196,0.224718689397318
"174","MKN7_STOMACH",3.16671544496642,"PR500","temozolomide","O6-benzylguanine",3.704,5,0.890913963859148,0.676280796284268,0.132899207363142
"175","MKN7_STOMACH",3.16671544496642,"PR500","temozolomide","O6-benzylguanine",33.33,5,0.838165165013419,0.441721587113731,0.319548882084927
"176","MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",3.38681094647222,"PR300","temozolomide","O6-benzylguanine",0.1372,5,0.742984526989774,0.999898837056224,-0.115712690284668
"177","MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE",3.38681094647222,"PR300","temozolomide","O6-benzylguanine",0.4115,5,0.783552110603665,0.999358181210589,-0.11480995967674
